id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
14946,buthion_eric_plomberie_-_chauffage,buthion_eric_plomberie_chauffage,2,,2,,1
14947,g.m.o_gestion_maintenance_optimisee,g_m_o_gestion_maintenance_optimisee,,,0,,1
14948,a.c.p.c,a_c_p_c,12,,12,,1
14949,chauf.plomb.climat.piscines,chauf_plomb_climat_piscines,,,0,,1
14950,d.e.m_energie,d_e_m_energie,,,0,,1
14951,pro_depannage_-_chauffage,pro_depannage_chauffage,3,,3,,1
14952,s.e_beladina_chabut,s_e_beladina_chabut,2,,2,,1
14953,progaz_et_o,progaz_o,11,,11,,1
14954,ses_pouget_et_co,ses_pouget_co,,,0,,1
14955,hydro_et_co,hydro_co,1,,1,,1
14956,chambon-giraud,chambon_giraud,8,,8,,1
14957,a._grange_et_fils,a_grange_fils,16,,16,,1
14958,m.m.e.c,m_m_e_c,,,0,,1
14959,dominique_labeille_et_fils,dominique_labeille_fils,,,0,,1
14960,koforo-elec,koforo_elec,,,0,,1
14961,m.p.c.c,m_p_c_c,3,,3,,1
14962,viannet_max_et_fils_sarl,viannet_max_fils_sarl,9,,9,,1
14963,mesbah-savel_bernard_et_yannick,mesbah_savel_bernard_et_yannick,1,,1,,1
14964,sarl_moulin-liabeuf,sarl_moulin_liabeuf,,,0,,1
14965,armand_robert_-_fils,armand_robert_fils,5,,5,,1
14966,s.a.n.i.p.a.c.,s_a_n_i_p_a_c,,,0,,1
14967,c.s.c._entreprise,c_s_c_entreprise,5,,5,,1
14968,sas_du_val_d_ay_-_feasson,sas_du_val_d_ay_feasson,,,0,,1
14969,gonzales_nicolas_-_le_bon_tuyau,gonzales_nicolas_le_bon_tuyau,,,0,,1
14970,fevry_jean-louis,fevry_jean_louis,4,,4,,1
14971,bataille_s.a.s.,bataille_s_a_s,9,1,10,,1
14972,sarl_guillemin-s,sarl_guillemin_s,6,,6,,1
14973,fevry_norman_s.a.s.u.,fevry_norman_s_a_s_u,5,,5,,1
